[Log], Mon Jul 19 00:05:32 IRDT 2021, log.txt created or opened
[Info], Mon Jul 19 00:05:32 IRDT 2021, Game Main Run
[Info], Mon Jul 19 00:05:32 IRDT 2021, initialization and loading
[Info], Mon Jul 19 00:05:32 IRDT 2021, initializationOfLevels: loading levels from mission.txt
[Info], Mon Jul 19 00:05:32 IRDT 2021, initializationOfLevels successfully
[Info], Mon Jul 19 00:05:32 IRDT 2021, LevelManager constructor
[Info], Mon Jul 19 00:05:32 IRDT 2021, LevelInputProcessor constructor
[Info], Mon Jul 19 00:05:32 IRDT 2021, LevelInputProcessor run
[Info], Mon Jul 19 00:05:32 IRDT 2021, instructionQueue buy turkey successfully
[Info], Mon Jul 19 00:05:32 IRDT 2021, it is levelManager's TurnN with N = 1
[Info], Mon Jul 19 00:05:32 IRDT 2021, dequeuing instructions
[Info], Mon Jul 19 00:05:32 IRDT 2021, dequeuing buy turkey
[Info], Mon Jul 19 00:05:32 IRDT 2021, bought turkey
[Info], Mon Jul 19 00:05:32 IRDT 2021, dequeuing build cloth
[Info], Mon Jul 19 00:05:32 IRDT 2021, build cloth: built workshopCloth
[Info], Mon Jul 19 00:05:32 IRDT 2021, dequeuing instructions completed
[Info], Mon Jul 19 00:05:32 IRDT 2021, dequeuing instructions completed, CLEARING instructionQueue LIST
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager's Turn, with turn no = 1
[Info], Mon Jul 19 00:05:32 IRDT 2021, it is levelManager's turn for each TurnN's N
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager: addTurn
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager: getting product from WS, well &  animals
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager: moving & eating & dying domestic animals
[Error], Mon Jul 19 00:05:32 IRDT 2021, TURKEY @ [3 0] didn't get grass HP = 100
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager: moving & doing domestic animals
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager: removing productOnGround:
[Info], Mon Jul 19 00:05:32 IRDT 2021, done levelManager's turn for each TurnN's N done
[Info], Mon Jul 19 00:05:32 IRDT 2021, levelManager's Turn inquiry, with turn no = 1
[Info], Mon Jul 19 00:05:32 IRDT 2021, Xx	inquiry	xX
[Info], Mon Jul 19 00:05:32 IRDT 2021, INQUIRY: number of turn in game = 1
[Info], Mon Jul 19 00:05:32 IRDT 2021, INQUIRY: maxTime for reward = 20
[Info], Mon Jul 19 00:05:32 IRDT 2021, INQUIRY: Reward = 50
[Info], Mon Jul 19 00:05:32 IRDT 2021, INQUIRY: number of coins = 0
[Info], Mon Jul 19 00:05:32 IRDT 2021, INQUIRY: grass
[Info], Mon Jul 19 00:05:32 IRDT 2021, 0r : 0 _ 0 _ 0 _ 0 _ 0 _ 0 _ 
